tconst,nconst,primaryTitle,primaryName,primaryProfession
tt54006487,nm0465106,The Three Musketeers,Hal Roach Jr.,director
tt71380510,nm0465106,The Hurricane at Pilgrim Hill,Hal Roach Jr.,director
tt65082218,nm0465106,Dagwoods Ego,Hal Roach Jr.,director
tt59523370,nm0465106,A Friend for Roberta,Hal Roach Jr.,director
tt51516998,nm0465106,Costume Party,Hal Roach Jr.,director
tt65968161,nm0465106,Countess Margie,Hal Roach Jr.,director
tt81855109,nm0465106,Efficiency Expert,Hal Roach Jr.,director
tt68414770,nm0465106,Kangaroo Story,Hal Roach Jr.,director
tt94236529,nm0465106,Margie Plays Detective,Hal Roach Jr.,director
tt73208710,nm0465106,Margie Sings Opera,Hal Roach Jr.,director
tt26161242,nm0465106,Margies Millionth Member,Hal Roach Jr.,director
tt92932386,nm0465106,Margies Mink,Hal Roach Jr.,director
tt72235144,nm0465106,Margies Sister Sally,Hal Roach Jr.,director
tt61734105,nm0465106,Miss Whoozis,Hal Roach Jr.,director
tt61782962,nm0465106,Missing Link,Hal Roach Jr.,director
tt97042468,nm0465106,Radioactive Margie,Hal Roach Jr.,director
tt34980804,nm0465106,Reverse Psychology,Hal Roach Jr.,director
tt12002027,nm0465106,The Hooded Vern,Hal Roach Jr.,director
tt82110377,nm0465106,Whos Married,Hal Roach Jr.,director
tt94403770,nm0465106,Prague,Hal Roach Jr.,director
tt69299703,nm0465106,Rome,Hal Roach Jr.,director
tt34082337,nm0465106,A Knowledge of Astronomy,Hal Roach Jr.,director
tt27702141,nm0465106,A Pair of Gloves,Hal Roach Jr.,director
tt39548970,nm0465106,Another World,Hal Roach Jr.,director
tt92146435,nm0465106,Badge of Honor,Hal Roach Jr.,director
tt96807976,nm0465106,Behind Bars,Hal Roach Jr.,director
tt82648070,nm0465106,Loyalty,Hal Roach Jr.,director
tt51223741,nm0465106,The Big Steel,Hal Roach Jr.,director
tt56644443,nm0465106,Brutality,Hal Roach Jr.,director
tt51687635,nm0465106,Cornered,Hal Roach Jr.,director
tt20492292,nm0465106,Destiny,Hal Roach Jr.,director
tt89247574,nm0465106,Eight Out of a Hundred,Hal Roach Jr.,director
tt80825226,nm0465106,End of the Line,Hal Roach Jr.,director
tt11509486,nm0465106,Escape,Hal Roach Jr.,director
tt81259456,nm0465106,The DoGooder,Hal Roach Jr.,director
tt14524108,nm0465106,The Arsonist,Hal Roach Jr.,director
tt11117798,nm0465106,Hot Rod,Hal Roach Jr.,director
tt37567861,nm0465106,The Stepfather,Hal Roach Jr.,director
tt32629215,nm0465106,Let Justice Be Done,Hal Roach Jr.,director
tt78359888,nm0465106,The Ring,Hal Roach Jr.,director
tt16866203,nm0465106,When Credit Is Due,Hal Roach Jr.,director
tt94407247,nm0465106,Lost Cause,Hal Roach Jr.,director
tt89750449,nm0465106,Crashout,Hal Roach Jr.,director
tt59895813,nm0465106,Mamas Boy,Hal Roach Jr.,director
tt55482309,nm0465106,Moonshine,Hal Roach Jr.,director
tt32776491,nm0465106,Operation Cleat,Hal Roach Jr.,director
tt18677458,nm0465106,Return of the Dead,Hal Roach Jr.,director
tt62144638,nm0465106,Step Child,Hal Roach Jr.,director
tt79846410,nm0465106,Story of Nora Fulton,Hal Roach Jr.,director
tt21446595,nm0465106,The Big Race,Hal Roach Jr.,director
tt53628731,nm0465106,The Case of the Parolee,Hal Roach Jr.,director
tt29102888,nm0465106,The Forger,Hal Roach Jr.,director
tt28837144,nm0465106,The Hitchhiker,Hal Roach Jr.,director
tt40910619,nm0465106,The Last Appeal,Hal Roach Jr.,director
tt61758989,nm0465106,Until Proven Guilty,Hal Roach Jr.,director
tt99897371,nm0465106,The Prize Fighter Story,Hal Roach Jr.,director
tt20770016,nm0465106,Third Floor Rear,Hal Roach Jr.,director
tt90030245,nm0465106,Youth Crime Ring,Hal Roach Jr.,director
tt83264677,nm0465106,Accidentally on Purpose,Hal Roach Jr.,director
tt92693554,nm0465106,Beauty for Hire,Hal Roach Jr.,director
tt45500127,nm0465106,Desperate Money,Hal Roach Jr.,director
tt39491935,nm0465106,Take a Little Leave a Little,Hal Roach Jr.,director
tt90143535,nm0465106,The Bill of Sale Racket,Hal Roach Jr.,director
tt98162655,nm0465106,The Case of the Dancing Lady,Hal Roach Jr.,director
tt53154606,nm0465106,The Case of the Hearse Chaser,Hal Roach Jr.,director
tt75447648,nm0465106,The Case of the Matchmaker,Hal Roach Jr.,director
tt93861636,nm0465106,The Case of the Miracle Mud,Hal Roach Jr.,director
